DigiKey Reference Number,Qty,Value,Package,Parts,Description
1N5819HW1-7-F,1,,SOD123F,D6,DIODE SBR 40V 1A SOD123F
35TRV100M8X10.5,1,100uF,"Radial, Can - SMD",C7,"100 µF 35 V Aluminum Electrolytic Capacitors Radial, Can - SMD 8000 Hrs @ 105°C"
36-5102-ND,11,,5102-2,"J2, J3, J4, J5, J6, J7, J10, J11, J12, J13, J14","2 (1 x 2) Position Shunt Connector Non-Insulated 0.114"" (2.90mm) Silver"
"CUS10S30,H3F",5,,SOD-323,"D2, D4, D7, D9, D11",Diode 30 V 1A Surface Mount USC
TPS560430XFDBVR,1,,SOT-23-6,U8,IC REG BUCK PWM 600MA SOT23-6
CL05A104KA5NNNC,1,0.1uF,1206,C10,CAP CER 0.1UF 25V X7R 1206
RC1206FR-0710KL,15,10K,1206,"R2, R6, R7, R8, R12, R13, R14, R18, R19, R20, R24, R25, R28, R32, R33","10 kOhms ±1% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Moisture Resistant Thick Film"
AOTA-B252010S100MT,1,10uH,1008,L1,FIXED IND 10UH 1.2A 420MOHM SMD
RNCP1206FTD1K00,6,1K,1206,"R1, R3, R9, R15, R21, R29","1 kOhms ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film"
CL31A225KAHNNNE,1,2.2uF,1206,C9,CAP CER 2.2UF 25V X5R 1206
RNCP1206FTD22K1,1,22.1K,1206,R27,"22.1 kOhms ±1% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Sulfur Thin Film"
CL31A226KAHNNNE,7,22uF,1206,"C1, C2, C3, C4, C5, C6, C11",22 µF ±10% 25V Ceramic Capacitor X5R 1206 (3216 Metric)
RMCF1206JT300R,5,300,1206,"R5, R11, R17, R23, R31",RES 300 OHM 5% 1/4W 1206
CL31A476MPHNNNE,1,47uF,1206,C8,CAP CER 47UF 10V X5R 1206
694106301002,1,,,J1,CONN PWR JACK 2.1X5.5MM SOLDER
RMCF1206FT75R0,5,75,1206,"R4, R10, R16, R22, R30",RES 75 OHM 1% 1/4W 1206
RC1206FR-0788K7L,1,88.7K,1206,R26,RES 88.7K OHM 1% 1/4W 1206
EB171SA-08-M,1,,,J9,TERM BLOCK 8POS 30DEG 7.5MM PCB
B1501UYG-20D002513U1930,6,,1206,"D1, D3, D5, D8, D10, D12",Yellow-Green 573nm LED Indication - Discrete 2V 1206 (3216 Metric)
DMG4496SSS-13,5,,8-SOIC,"U1, U3, U6, U9, U11",MOSFET N-CH 30V 10A 8SOP
DMP3036SSS-13,5,,8-SOIC,"U2, U5, U7, U10, U12",MOSFET P-CH 30V 19.5A 8SO
SLW-129956-4A-RA-N-D,1,,,SW1,"Slide Switch SPDT Through Hole, Right Angle"
XIAOC3ESP32,1,,,U4,Seeed Studio XIAO Series Through-hole Footprint and Symbol
,,,,,
